id.state,state,turnout.12,turnout.12.2,skew.turnout.12,kurt.turnout.12,bendford.turnout.12,unimodal.turnout.12,votepri.12,votepri.12.2,skew.pri.12,kurt.pri.12,bendford.pri.12,Unimodalpri.12,gdp.12,gdp.mdp.12,populaition.12,gdp.capi.12,gdp.capi.12.2,gini.12,Rozenas.2.12,popularitypri.12,popularitypri.12.2,turnout.18,turnout.18.2,skew.turnout.18,kurt.turnout.18,bendford.turnout.18,unimodal.turnout.18,votemorena.18,votemorena.18.2,skew.morena.18,kurt.morena.18,bendford.morena.18,rozenas.2.18,Unimodalmorena.18,,gdp.18,gdp.mdp.18,populaition.18,gdp.capi.18,gdp.capi.18.2,gini.18,popularitymorena.18,popularitymorena.18.2
1,Aguascalientes,60.12371596,0.60123716,1,1,1,0,190774,19.0774,1,1,1,0,1.68E+11,167705.967,1233920.791,135913.0734,13.59130734,0.479,0,47.6,0.476,58.90067,0.5890067,1,1,1,0,222528,22.2528,1,1,1,0.4915254,0,,2.59E+11,258769.4198,1337792.494,193430.1627,19.34301627,0.43,26.66666667,0.266666667
2,Baja California,53.64243022,0.536424302,1,1,1,0,467987,46.7987,1,1,1,1,4.56E+11,456024.472,3328622.816,137000.9452,13.70009452,0.465,0,45.16129032,0.451612903,52.08004,0.5208004,1,1,1,0,918939,91.8939,1,1,1,0,0,,6.37E+11,637168.4293,3633772.198,175346.2778,17.53462778,0.439,30,0.3
3,Baja California Sur,58.15360589,0.581536059,1,1,1,0,105260,10.526,1,1,1,0,1.17E+11,117345.833,695408.9643,168743.63,16.874363,0.493,0,56.25,0.5625,57.56062,0.5756062,1,1,1,0,193842,19.3842,1,1,1,0.8952675,0,,1.56E+11,155681.6921,832827.197,186931.5659,18.69315659,0.467,50,0.5
4,Campeche,66.84978159,0.668497816,1,1,1,0,150240,15.024,1,1,1,0,7.15E+11,714787.065,866375.1549,825031.8133,82.50318133,0.533,0.5052734,41.02564103,0.41025641,69.78799,0.6978799,0,1,1,0,275262,27.5262,1,1,1,0,0,,4.14E+11,414250.9965,948459.3239,436762.0055,43.67620055,0.417,40,0.4
5,Coahuila,61.76313275,0.617631328,0,1,1,0,467202,46.7202,1,1,1,0,5.50E+11,549551.802,5050568.342,108809.8932,10.88098932,0.464,0.08397304,60.1,0.601,63.04319,0.6304319,1,1,1,0,609362,60.9362,1,1,1,0.1820561,0,,6.97E+11,697207.0907,5445232.73,128039.9067,12.80399067,0.423,20,0.2
6,Colima,63.8124608,0.638124608,1,1,1,0,124138,12.4138,0,1,1,0,90540289000,90540.289,3598791.994,25158.5224,2.51585224,0.445,0,31.25,0.3125,63.24001,0.6324001,1,1,1,0,197316,19.7316,0,1,1,0,0,,1.16E+11,115665.6878,3816865.369,30303.84272,3.030384272,0.508,25,0.25
7,Chiapas,66.6454594,0.666454594,1,1,1,0,935445,93.5445,1,1,1,0,2.85E+11,284733.625,2854334.394,99754.82397,9.975482397,0.535,0.08532727,30.6122449,0.306122449,68.69946,0.6869946,1,1,1,0,1485699,148.5699,0,1,1,0.6437895,0,,3.24E+11,323896.8741,3063662.456,105722.1149,10.57221149,0.473,23.33333333,0.233333333
8,Chihuahua,52.90160485,0.529016049,1,1,1,0,619645,61.9645,1,1,1,0,4.59E+11,459166.22,685394.1149,669930.2051,66.99302051,0.5,0.07812186,59.375,0.59375,54.01819,0.5401819,1,1,1,0,643652,64.3652,1,1,1,0.09687026,0,,6.51E+11,651110.8126,759686.4939,857078.305,85.7078305,0.507,37,0.37
9,Distrito Federal,66.89723993,0.668972399,1,1,1,0,1258686,125.8686,1,1,1,1,2.63E+12,2633934.642,8911664.727,295560.3383,29.55603383,0.457,0,18.25396825,0.182539683,70.44755,0.7044755,1,1,1,0,3118478,311.8478,1,1,1,0,1,,3.23E+12,3231507.873,8788140.622,367712.3538,36.77123538,0.415,20,0.2
10,Durango,59.11016127,0.591101613,1,1,1,0,320637,32.0637,1,1,1,0,1.83E+11,182943.056,1709741.314,107000.4301,10.70004301,0.499,0,22.22222222,0.222222222,56.86677,0.5686677,1,1,1,0,340829,34.0829,1,1,1,0.2882305,0,,2.36E+11,236431.2861,1815965.569,130195.908,13.0195908,0.576,33.33333333,0.333333333
